date,repository,stars,daily_change,observation
2013-01-29,conda/conda,3,3,estimated
2013-01-30,conda/conda,20,17,estimated
2013-01-31,conda/conda,24,4,estimated
2013-02-01,conda/conda,26,2,estimated
2013-02-02,conda/conda,26,0,estimated
2013-02-03,conda/conda,27,1,estimated
2013-02-04,conda/conda,30,3,estimated
2013-02-05,conda/conda,31,1,estimated
2013-02-06,conda/conda,31,0,estimated
2013-02-07,conda/conda,31,0,estimated
2013-02-08,conda/conda,31,0,estimated
2013-02-09,conda/conda,31,0,estimated
2013-02-10,conda/conda,31,0,estimated
2013-02-11,conda/conda,32,1,estimated
2013-02-12,conda/conda,33,1,estimated
2013-02-13,conda/conda,33,0,estimated
2013-02-14,conda/conda,33,0,estimated
2013-02-15,conda/conda,33,0,estimated
2013-02-16,conda/conda,33,0,estimated
2013-02-17,conda/conda,33,0,estimated
2013-02-18,conda/conda,33,0,estimated
2013-02-19,conda/conda,33,0,estimated
2013-02-20,conda/conda,33,0,estimated
2013-02-21,conda/conda,33,0,estimated
2013-02-22,conda/conda,33,0,estimated
2013-02-23,conda/conda,33,0,estimated
2013-02-24,conda/conda,33,0,estimated
2013-02-25,conda/conda,33,0,estimated
2013-02-26,conda/conda,33,0,estimated
2013-02-27,conda/conda,33,0,estimated
2013-02-28,conda/conda,33,0,estimated
2013-03-01,conda/conda,33,0,estimated
2013-03-02,conda/conda,33,0,estimated
2013-03-03,conda/conda,33,0,estimated
2013-03-04,conda/conda,33,0,estimated
2013-03-05,conda/conda,33,0,estimated
2013-03-06,conda/conda,33,0,estimated
2013-03-07,conda/conda,34,1,estimated
2013-03-08,conda/conda,35,1,estimated
2013-03-09,conda/conda,35,0,estimated
2013-03-10,conda/conda,35,0,estimated
2013-03-11,conda/conda,35,0,estimated
2013-03-12,conda/conda,35,0,estimated
2013-03-13,conda/conda,35,0,estimated
2013-03-14,conda/conda,35,0,estimated
2013-03-15,conda/conda,35,0,estimated
2013-03-16,conda/conda,35,0,estimated
2013-03-17,conda/conda,35,0,estimated
2013-03-18,conda/conda,35,0,estimated
2013-03-19,conda/conda,35,0,estimated
2013-03-20,conda/conda,35,0,estimated
2013-03-21,conda/conda,36,1,estimated
2013-03-22,conda/conda,36,0,estimated
2013-03-23,conda/conda,36,0,estimated
2013-03-24,conda/conda,36,0,estimated
2013-03-25,conda/conda,36,0,estimated
2013-03-26,conda/conda,36,0,estimated
2013-03-27,conda/conda,37,1,estimated
2013-03-28,conda/conda,37,0,estimated
2013-03-29,conda/conda,37,0,estimated
2013-03-30,conda/conda,37,0,estimated
2013-03-31,conda/conda,37,0,estimated
2013-04-01,conda/conda,37,0,estimated
2013-04-02,conda/conda,37,0,estimated
2013-04-03,conda/conda,37,0,estimated
2013-04-04,conda/conda,37,0,estimated
2013-04-05,conda/conda,37,0,estimated
2013-04-06,conda/conda,37,0,estimated
2013-04-07,conda/conda,37,0,estimated
2013-04-08,conda/conda,37,0,estimated
2013-04-09,conda/conda,38,1,estimated
2013-04-10,conda/conda,38,0,estimated
2013-04-11,conda/conda,38,0,estimated
2013-04-12,conda/conda,38,0,estimated
2013-04-13,conda/conda,38,0,estimated
2013-04-14,conda/conda,38,0,estimated
2013-04-15,conda/conda,38,0,estimated
2013-04-16,conda/conda,38,0,estimated
2013-04-17,conda/conda,38,0,estimated
2013-04-18,conda/conda,38,0,estimated
2013-04-19,conda/conda,38,0,estimated
2013-04-20,conda/conda,38,0,estimated
2013-04-21,conda/conda,38,0,estimated
2013-04-22,conda/conda,38,0,estimated
2013-04-23,conda/conda,38,0,estimated
2013-04-24,conda/conda,39,1,estimated
2013-04-25,conda/conda,39,0,estimated
2013-04-26,conda/conda,39,0,estimated
2013-04-27,conda/conda,39,0,estimated
2013-04-28,conda/conda,39,0,estimated
2013-04-29,conda/conda,39,0,estimated
2013-04-30,conda/conda,39,0,estimated
2013-05-01,conda/conda,39,0,estimated
2013-05-02,conda/conda,39,0,estimated
2013-05-03,conda/conda,39,0,estimated
2013-05-04,conda/conda,39,0,estimated
2013-05-05,conda/conda,39,0,estimated
2013-05-06,conda/conda,39,0,estimated
2013-05-07,conda/conda,39,0,estimated
2013-05-08,conda/conda,39,0,estimated
2013-05-09,conda/conda,39,0,estimated
